gmm_cluster,2021-2022 attendance rate - year to date_scaled_mean,2021-2022 attendance rate - year to date_scaled_min,2021-2022 attendance rate - year to date_scaled_max,2021-2022 attendance rate - year to date_scaled_count,2020-2021 attendance rate_scaled_mean,2020-2021 attendance rate_scaled_min,2020-2021 attendance rate_scaled_max,2020-2021 attendance rate_scaled_count,2019-2020 attendance rate_scaled_mean,2019-2020 attendance rate_scaled_min,2019-2020 attendance rate_scaled_max,2019-2020 attendance rate_scaled_count,2021-2022 student count - year to date_scaled_mean,2021-2022 student count - year to date_scaled_min,2021-2022 student count - year to date_scaled_max,2021-2022 student count - year to date_scaled_count,2020-2021 student count_scaled_mean,2020-2021 student count_scaled_min,2020-2021 student count_scaled_max,2020-2021 student count_scaled_count,2019-2020 student count_scaled_mean,2019-2020 student count_scaled_min,2019-2020 student count_scaled_max,2019-2020 student count_scaled_count
0,0.8344903165366717,0.6320346320346317,1.0,757,0.9526963550550848,0.8790453074433658,0.9980784789644014,757,0.9483545574636724,0.9187000000000001,0.9767,757,0.44691103027604145,-1.1811633312129413,3.1591328519589905,757,0.4476705041445647,-1.1769976473652495,3.1296947621611544,757,0.44525479224542247,-1.1723222641470472,3.105035597737185,757
1,0.8354998887805211,0.5950413223140494,0.9740259740259738,575,0.9565560363022373,0.8975525889967638,1.0,575,0.952149043478261,0.9237000000000001,0.9814,575,-0.44137793529501074,-1.243859099588336,1.1140739916795857,575,-0.42601503657699663,-1.2191317014777696,1.0524450703215962,575,-0.43078352168957995,-1.213901346669428,0.9163119836832725,575
2,0.5472255017709563,0.0,0.9027941755214477,44,0.8112059613121508,0.0,0.978559870550162,44,0.9222818181818181,0.8196,0.9994,44,-0.4958519691314196,-1.1619965550507227,0.8498836699328361,44,-0.5218678353744705,-2.6292181664001997,0.8256135941056488,44,-0.28860051513801016,-1.1342123044726806,1.175836285103407,44
3,0.7683746556473828,0.03109012199921324,0.9496261314443135,75,0.28274137001078753,0.0,0.9839199029126215,75,0.172688,0.0,0.9706,75,-0.7659064718986476,-1.243859099588336,0.4791170656782437,75,-2.073554978888022,-2.6292181664001997,0.5135621843747248,75,-2.285246532309118,-2.6054147607863896,-0.6200578989255827,75
4,0.6820557033586511,0.2987012987012987,0.9449035812672175,367,0.8915422211052619,0.7626415857605179,0.9837176375404532,367,0.9380689373297003,0.8634999999999999,1.0,367,0.15299068934309273,-1.2011459560871534,1.793207129152901,367,0.16327658062238984,-1.1769976473652495,1.799007632594799,367,0.16799837933540357,-1.1926391529740221,1.7976885411827315,367
