performance_cluster,: All Students,English Learners: English Learners,Free/Reduced Lunch: Free Meal Eligible,Free/Reduced Lunch: Free/Reduced Price Meal Eligible,Free/Reduced Lunch: Reduced Price Meal Eligible,High Needs: Students With High Needs,High Needs: Students Without High Needs,Homelessness: Students Experiencing Homelessness,Race/Ethnicity: All other races,Race/Ethnicity: Black or African American,Race/Ethnicity: Hispanic/Latino of any race,Race/Ethnicity: White,Students With Disabilities: Students With Disabilities
0,16.0,2.3,8.5,9.4,2.2,12.2,13.5,0.2,5.3,3.5,6.0,13.9,6.9
1,4.1,9.1,7.2,10.1,12.3,7.4,6.1,1.3,6.6,9.0,10.6,4.3,11.9
