gmm_cluster,English Learners: English Learners,Free/Reduced Lunch: Free Meal Eligible,Free/Reduced Lunch: Reduced Price Meal Eligible,High Needs: Students With High Needs,High Needs: Students Without High Needs,Homelessness: Students Experiencing Homelessness,Race/Ethnicity: All other races,Race/Ethnicity: Black or African American,Race/Ethnicity: Hispanic/Latino of any race,Race/Ethnicity: White,Students With Disabilities: Students With Disabilities
0,38.5,37.3,13.5,40.1,23.9,0.0,43.8,45.3,39.3,22.5,34.7
1,4.3,13.3,0.0,12.2,1.5,0.0,5.0,10.2,10.7,4.4,15.8
2,11.1,5.1,14.2,3.0,1.0,80.0,1.7,4.7,6.0,0.5,7.4
3,4.3,7.6,5.4,1.0,1.0,20.0,5.8,4.7,10.7,1.6,3.2
4,40.2,21.5,66.2,17.3,21.8,0.0,19.0,29.7,26.2,9.9,20.0
5,1.7,15.2,0.7,26.4,50.8,0.0,24.8,5.5,7.1,61.0,18.9
