performance_cluster,English Learners: English Learners,Free/Reduced Lunch: Free Meal Eligible,Free/Reduced Lunch: Free/Reduced Price Meal Eligible,Free/Reduced Lunch: Reduced Price Meal Eligible,High Needs: Students With High Needs,High Needs: Students Without High Needs,Homelessness: Students Experiencing Homelessness,Race/Ethnicity: All other races,Race/Ethnicity: Black or African American,Race/Ethnicity: Hispanic/Latino of any race,Race/Ethnicity: White,Students With Disabilities: Students With Disabilities
0,23.9,55.1,50.3,16.2,64.5,69.0,13.3,45.5,31.2,38.1,78.6,40.5
1,76.1,44.9,49.7,83.8,35.5,31.0,86.7,54.5,68.8,61.9,21.4,59.5
