District code,District name,Category,Student group,2021-2022 student count - year to date,2021-2022 attendance rate - year to date,2020-2021 student count,2020-2021 attendance rate,2019-2020 student count,2019-2020 attendance rate,Reporting period,Date update
00000CT,Connecticut,,All Students,500285,91.69,496092.0,92.94,508346.0,94.79,Jun-22,7/22/2022
00000CT,Connecticut,Homelessness,Students Experiencing Homelessness,1814,83.48,1735.0,81.55,3916.0,88.84,Jun-22,7/22/2022
00000CT,Connecticut,Students With Disabilities,Students With Disabilities,78417,88.99,76487.0,89.46,80365.0,92.77,Jun-22,7/22/2022
00000CT,Connecticut,Free/Reduced Lunch,Free Meal Eligible,168984,88.51,176225.0,88.61,193706.0,93.14,Jun-22,7/22/2022
00000CT,Connecticut,Free/Reduced Lunch,Reduced Price Meal Eligible,29905,91.84,30886.0,92.99,27507.0,95.18,Jun-22,7/22/2022
