gmm_cluster,English Learners: English Learners,Free/Reduced Lunch: Free Meal Eligible,Free/Reduced Lunch: Reduced Price Meal Eligible,High Needs: Students With High Needs,High Needs: Students Without High Needs,Homelessness: Students Experiencing Homelessness,Race/Ethnicity: All other races,Race/Ethnicity: Black or African American,Race/Ethnicity: Hispanic/Latino of any race,Race/Ethnicity: White,Students With Disabilities: Students With Disabilities
0,8.4,11.0,3.7,14.8,8.8,0.0,9.9,10.9,12.4,7.7,12.4
1,3.9,16.4,0.0,18.8,2.3,0.0,4.7,10.2,14.1,6.2,23.4
2,13.7,8.4,22.1,6.3,2.1,12.6,2.1,6.3,10.5,1.1,14.7
3,6.9,16.7,11.1,2.8,2.8,4.2,9.7,8.3,25.0,4.2,8.3
4,11.3,8.2,23.5,8.2,10.3,0.0,5.5,9.1,10.6,4.3,9.1
5,0.5,6.4,0.3,13.9,26.7,0.0,8.0,1.9,3.2,29.6,9.6
