performance_cluster,English Learners: English Learners,Free/Reduced Lunch: Free Meal Eligible,Free/Reduced Lunch: Reduced Price Meal Eligible,High Needs: Students With High Needs,High Needs: Students Without High Needs,Homelessness: Students Experiencing Homelessness,Race/Ethnicity: All other races,Race/Ethnicity: Black or African American,Race/Ethnicity: Hispanic/Latino of any race,Race/Ethnicity: White,Students With Disabilities: Students With Disabilities
0,23.9,56.3,17.6,65.5,69.5,13.3,49.6,32.0,38.7,80.8,43.2
1,76.1,43.7,82.4,34.5,30.5,86.7,50.4,68.0,61.3,19.2,56.8
